Artist,Genre,Artist_uri,Artist_id,Followers
Sharon Jones & The Dap-Kings,soul,spotify:artist:6LufpoVlIYKQCu9Gjpk8B7,6LufpoVlIYKQCu9Gjpk8B7,148194
Estelle,soul,spotify:artist:5T0MSzX9RC5NA6gAI6irSn,5T0MSzX9RC5NA6gAI6irSn,144544
Belly,soul,spotify:artist:0FOWNUFHPnMy0vOw1siGqi,0FOWNUFHPnMy0vOw1siGqi,140346
Ravyn Lenae,soul,spotify:artist:5RTLRtXjbXI2lSXc6jxlAz,5RTLRtXjbXI2lSXc6jxlAz,128810
Xavier Omr,soul,spotify:artist:3UjPnt2nRmw10N58bBeNOg,3UjPnt2nRmw10N58bBeNOg,119039
THEY.,soul,spotify:artist:0pghUohLPptZWBasy2wmUx,0pghUohLPptZWBasy2wmUx,118580
Jai Wolf,soul,spotify:artist:24V5UY0nChKpnb1TBPJhCw,24V5UY0nChKpnb1TBPJhCw,112509
NxWorries,soul,spotify:artist:6PEMFpe3PTOksdV4ZXUpbE,6PEMFpe3PTOksdV4ZXUpbE,108785
Whethan,soul,spotify:artist:0vqJkZ0RpLZixt3lTmD8vP,0vqJkZ0RpLZixt3lTmD8vP,100382
SiR,soul,spotify:artist:3QTDHixorJelOLxoxcjqGx,3QTDHixorJelOLxoxcjqGx,98920
The Knocks,soul,spotify:artist:2x7EATekOPhFGRx3syMGEC,2x7EATekOPhFGRx3syMGEC,94929
88GLAM,soul,spotify:artist:2I9SLklAOG0vdMiUUMNxRl,2I9SLklAOG0vdMiUUMNxRl,86747
Snoh Aalegra,soul,spotify:artist:1A9o3Ljt67pFZ89YtPPL5X,1A9o3Ljt67pFZ89YtPPL5X,86416
SAINt JHN,soul,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,0H39MdGGX6dbnnQPt6NQkZ,77880
Galimatias,soul,spotify:artist:0tOrKkXIn3VYyVHFEPG6Xd,0tOrKkXIn3VYyVHFEPG6Xd,73648
Big Wild,soul,spotify:artist:0PxzGnCYBpSuaI49OR94cA,0PxzGnCYBpSuaI49OR94cA,72764
Anna Of The North,soul,spotify:artist:1mSJCvDX0W7Dn7S9C6vmvI,1mSJCvDX0W7Dn7S9C6vmvI,67711
24hrs,soul,spotify:artist:4isewEHTP7Az2QheDdBQ6J,4isewEHTP7Az2QheDdBQ6J,67517
Sonder,soul,spotify:artist:2ICR2m4hOBPhaYiZB3rnLW,2ICR2m4hOBPhaYiZB3rnLW,66761
Mansionair,soul,spotify:artist:4qOzMSukiZoiSjPQw8Zs7s,4qOzMSukiZoiSjPQw8Zs7s,66031
Shallou,soul,spotify:artist:7C3Cbtr2PkH2l4tOGhtCsk,7C3Cbtr2PkH2l4tOGhtCsk,62507
Amber Mark,soul,spotify:artist:0tbeZu9lv8YEKSQ9tZSslu,0tbeZu9lv8YEKSQ9tZSslu,60550
GASHI,soul,spotify:artist:0JOxt5QOwq0czoJxvSc5hS,0JOxt5QOwq0czoJxvSc5hS,60268
Ari Lennox,soul,spotify:artist:1vaQ6v3pOFxAIrFoPrAcom,1vaQ6v3pOFxAIrFoPrAcom,59259
Kasbo,soul,spotify:artist:1ikID9RZZMvkuBGDWrqajq,1ikID9RZZMvkuBGDWrqajq,53987
Elohim,soul,spotify:artist:6wKxOKEA3K6R2UZ3COLXEY,6wKxOKEA3K6R2UZ3COLXEY,51862
Charlotte Day Wilson,soul,spotify:artist:3GQboECxDT1xqPPWC30p7v,3GQboECxDT1xqPPWC30p7v,50169
Still Woozy,soul,spotify:artist:4iMO20EPodreIaEl8qW66y,4iMO20EPodreIaEl8qW66y,46355
RKCB,soul,spotify:artist:4QDvXnbmw1znkqkK1119Fc,4QDvXnbmw1znkqkK1119Fc,43800
ROZES,soul,spotify:artist:6jsjhAEteAlY0vCiLvMLBA,6jsjhAEteAlY0vCiLvMLBA,43515
Buddy,soul,spotify:artist:6PDLwWvgYNMfBRLqC1h5cJ,6PDLwWvgYNMfBRLqC1h5cJ,41159
Jerry Folk,soul,spotify:artist:356FCJoyYWyzONni54Dgrv,356FCJoyYWyzONni54Dgrv,40390
Mavis Staples,soul,spotify:artist:0cTSCsVx04SSht9V6cpKN0,0cTSCsVx04SSht9V6cpKN0,40259
Verzache,soul,spotify:artist:59KX7XUUgAOOo5IyDjca0T,59KX7XUUgAOOo5IyDjca0T,35336
ayokay,soul,spotify:artist:4BzCdhJTyTS3gumq9xmymb,4BzCdhJTyTS3gumq9xmymb,34936
Shoffy,soul,spotify:artist:4wO0kHiOwf8l9VMJJN9HmG,4wO0kHiOwf8l9VMJJN9HmG,30087
ODIE,soul,spotify:artist:5aMIbwZQvP2MHPMVC5zCGj,5aMIbwZQvP2MHPMVC5zCGj,21794
Dan Caplen,soul,spotify:artist:2U3FuHYvL3vhkbDAXm24Ep,2U3FuHYvL3vhkbDAXm24Ep,15849
Sleepy Brown,soul,spotify:artist:7Dnu2NmddNymEI2LMZVH5v,7Dnu2NmddNymEI2LMZVH5v,9740
Elliott Trent,soul,spotify:artist:4U6sGpoCZvYkwmwB3VtRTW,4U6sGpoCZvYkwmwB3VtRTW,9708
Vory,soul,spotify:artist:0GeeIVcvGA8GSlWsoY1dkG,0GeeIVcvGA8GSlWsoY1dkG,8723
Arctic Monkeys,indie,spotify:artist:7Ln80lUS6He07XvHI8qqHH,7Ln80lUS6He07XvHI8qqHH,6917967
Halsey,indie,spotify:artist:26VFTg2z8YR0cCuwLzESi2,26VFTg2z8YR0cCuwLzESi2,4357115
The Killers,indie,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,0C0XlULifJtAgn6ZNCW2eu,4095142
Khalid,indie,spotify:artist:6LuN9FCkKOj5PcnpouEgny,6LuN9FCkKOj5PcnpouEgny,3928051
Frank Ocean,indie,spotify:artist:2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM,3858918
Kings of Leon,indie,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,2qk9voo8llSGYcZ6xrBzKx,3571481
G-Eazy,indie,spotify:artist:02kJSzxNuaWGqwubyUba0Z,02kJSzxNuaWGqwubyUba0Z,3551790
Bryson Tiller,indie,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,2EMAnMvWE2eb56ToJVfCWs,3032194
Jeremih,indie,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,3KV3p5EY4AvKxOlhGHORLg,2863913
The Lumineers,indie,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,16oZKvXb6WkQlVAjwo2Wbg,2803088
Of Monsters and Men,indie,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,4dwdTW1Lfiq0cM8nBAqIIz,2367602
Foster The People,indie,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,7gP3bB2nilZXLfPHJhMdvc,2338914
SZA,indie,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,2159856
Bon Iver,indie,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,4LEiUm1SRbFMgfqnQTwUbQ,2134153
alt-J,indie,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,3XHO7cRUPCLOr6jwp8vsx5,2065751
Miguel,indie,spotify:artist:360IAlyVv4PCEVjgyMZrxK,360IAlyVv4PCEVjgyMZrxK,1989652
Jhene Aiko,indie,spotify:artist:5ZS223C6JyBfXasXxrRqOk,5ZS223C6JyBfXasXxrRqOk,1987378
Kehlani,indie,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,0cGUm45nv7Z6M6qdXYQGTX,1911702
Tory Lanez,indie,spotify:artist:2jku7tDXc6XoB6MO2hFuqg,2jku7tDXc6XoB6MO2hFuqg,1820604
Wale,indie,spotify:artist:67nwj3Y5sZQLl72VNUHEYE,67nwj3Y5sZQLl72VNUHEYE,1686290
PARTYNEXTDOOR,indie,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,2HPaUgqeutzr3jx5a9WyDV,1585574
Two Door Cinema Club,indie,spotify:artist:536BYVgOnRky0xjsPT96zl,536BYVgOnRky0xjsPT96zl,1499849
Vance Joy,indie,spotify:artist:10exVja0key0uqUkk6LJRT,10exVja0key0uqUkk6LJRT,1436956
Marina and the Diamonds,indie,spotify:artist:6CwfuxIqcltXDGjfZsMd9A,6CwfuxIqcltXDGjfZsMd9A,1391491
Arcade Fire,indie,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB,3kjuyTCjPG1WMFCiyc5IuB,1379024
Charli XCX,indie,spotify:artist:25uiPmTg16RbhZWAqwLBy5,25uiPmTg16RbhZWAqwLBy5,1313350
MGMT,indie,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,0SwO7SWeDHJijQ3XNS7xEE,1308609
Cage The Elephant,indie,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,26T3LtbuGT1Fu9m0eRq5X3,1301587
6LACK,indie,spotify:artist:4IVAbR2w4JJNJDDRFP3E83,4IVAbR2w4JJNJDDRFP3E83,1219155
Vampire Weekend,indie,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,5BvJzeQpmsdsFp4HGUYUEx,1193756
WALK THE MOON,indie,spotify:artist:6DIS6PRrLS3wbnZsf7vYic,6DIS6PRrLS3wbnZsf7vYic,1107921
Jacquees,indie,spotify:artist:4tMm1dU6Gn04VAZ9ClHcIZ,4tMm1dU6Gn04VAZ9ClHcIZ,1058817
gnash,indie,spotify:artist:3iri9nBFs9e4wN7PLIetAw,3iri9nBFs9e4wN7PLIetAw,966943
Daniel Caesar,indie,spotify:artist:20wkVLutqVOYrc0kxFs7rA,20wkVLutqVOYrc0kxFs7rA,966275
Death Cab for Cutie,indie,spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,0YrtvWJMgSdVrk3SfNjTbx,921401
Mac DeMarco,indie,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,3Sz7ZnJQBIHsXLUSo0OQtM,914411
The National,indie,spotify:artist:2cCUtGK9sDU2EoElnk0GNB,2cCUtGK9sDU2EoElnk0GNB,910785
H.E.R.,indie,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,3Y7RZ31TRPVadSFVy1o8os,895098
Young the Giant,indie,spotify:artist:4j56EQDQu5XnL7R3E9iFJT,4j56EQDQu5XnL7R3E9iFJT,882991
Modest Mouse,indie,spotify:artist:1yAwtBaoHLEDWAnWR87hBT,1yAwtBaoHLEDWAnWR87hBT,825079
Portugal. The Man,indie,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,4kI8Ie27vjvonwaB2ePh8T,812160
Anderson .Paak,indie,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,3jK9MiCrA42lLAdMGUZpwa,807076
Ella Mai,indie,spotify:artist:7HkdQ0gt53LP4zmHsL0nap,7HkdQ0gt53LP4zmHsL0nap,768457
Fleet Foxes,indie,spotify:artist:4EVpmkEwrLYEg6jIsiPMIb,4EVpmkEwrLYEg6jIsiPMIb,760567
Sufjan Stevens,indie,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,4MXUO7sVCaFgFjoTI5ox5c,739641
James Blake,indie,spotify:artist:53KwLdlmrlCelAZMaLVZqU,53KwLdlmrlCelAZMaLVZqU,731564
