Genre,Artist,Artist_id,Song,Song_id,Audio_Metric
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,BIGGEST ALLEY OOP,6Q36XucqrejMId3RydVhch,"[0.05, 0.41, 0.86]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,RERUN (feat. Travis Scott),0JYAsQJWIuaYUvZGF1qapT,"[0.53, 0.79, 0.68]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,Dubai Shit,6urLjX35oXXRYtcH1b3dCh,"[0.25, 0.53, 0.77]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,14JzyD6FlBD5z0wV5P07YI,"[0.2, 0.1, 0.5]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,"[0.18, 0.32, 0.64]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,"[0.25, 0.41, 0.48]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bellyache,51NFxnQvaosfDDutk0tams,"[0.41, 0.57, 0.69]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,ocean eyes,2uIX8YMNjGMD7441kqyyNU,"[0.16, 0.37, 0.47]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,you should see me in a crown,6vsV4D8BM6PioRr1UOx0n2,"[0.28, 0.55, 0.7]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,"[0.19, 0.42, 0.78]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,my boy,1RGasjWLZ4qMN7wbtkLa3u,"[0.32, 0.39, 0.69]"
['pop'],Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,COPYCAT,5w7wuzMzsDer96KqxafeRK,"[0.23, 0.39, 0.68]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,7MXVkk9YMctZqd1Srtv4MB,"[0.49, 0.59, 0.68]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,"[0.17, 0.6, 0.49]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,The Hills,7fBv7CLKzipRk6EC6TWHOB,"[0.14, 0.56, 0.58]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,"[0.58, 0.82, 0.77]"
['pop'],The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,"[0.19, 0.68, 0.73]"
