Artist,Artist_id,ArtistColab,ArtistColab_id,Song,Song_id
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Future,1RyvyyTE3xzB2ZywiAwp0i,3500,49SrrLoFCJgy3zHMq3COto
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2 Chainz,17lzZA2AlOHwCwFALHttmp,3500,49SrrLoFCJgy3zHMq3COto
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Future,1RyvyyTE3xzB2ZywiAwp0i,3500,1QmZDWINRUqPE2ACgoSkFG
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2 Chainz,17lzZA2AlOHwCwFALHttmp,3500,1QmZDWINRUqPE2ACgoSkFG
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT,Mamacita,3SEd8nPd8MpGwk6ZZ8tk2j
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Young Thug,50co4Is1HCEo8bhOyUWKpn,Mamacita,3SEd8nPd8MpGwk6ZZ8tk2j
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT,Mamacita,0XqhZwO9GSM42LJHnXFf8b
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Young Thug,50co4Is1HCEo8bhOyUWKpn,Mamacita,0XqhZwO9GSM42LJHnXFf8b
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Don't Play,2QKBvCMHdokPoy2b44dK2m
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Big Sean,0c173mlxpT3dSFRgMO8XPh,Don't Play,2QKBvCMHdokPoy2b44dK2m
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Don't Play,7LwulVinHAJmgirwvcRgwG
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Big Sean,0c173mlxpT3dSFRgMO8XPh,Don't Play,7LwulVinHAJmgirwvcRgwG
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,T.I.,4OBJLual30L7gRl5UkeRcT,Upper Echelon,1x6Zk7hoTIlSOFNZnyxjZD
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,2 Chainz,17lzZA2AlOHwCwFALHttmp,Upper Echelon,1x6Zk7hoTIlSOFNZnyxjZD
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Side To Side - Slushii Remix,27WOAkJrAYagnYj7Y2tsFw
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Slushii,41rVuRHYAiH7ltBTHVR9We,Side To Side - Slushii Remix,27WOAkJrAYagnYj7Y2tsFw
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Side To Side - Phantoms Remix,1OQavCoScXzV0tdMlofwmK
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Phantoms,1bJJlRHoc1UVeqzxcrPLIw,Side To Side - Phantoms Remix,1OQavCoScXzV0tdMlofwmK
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3LAU,4YLQaW1UU3mrVetC8gNkg5,Into You - 3LAU Remix,1cfVkL84XmRON3Gl9jDXKI
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Mac Miller,4LLpKhyESsyAXpc4laK94U,Into You - Alex Ghenea Remix,5SFVZUBkSjXookoHpCYBop
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Alex Ghenea,1mGISDumAyOoK6epKA8gq1,Into You - Alex Ghenea Remix,5SFVZUBkSjXookoHpCYBop
